# Magnet current (A)	Counts	Measurement time (s)
0.000000000000000000e+00	1.870000000000000000e+02	9.000000000000000000e+01
2.280000000000000360e-01	1.940000000000000000e+02	9.000000000000000000e+01
4.368000000000000216e-01	1.690000000000000000e+02	9.000000000000000000e+01
6.780000000000000471e-01	1.660000000000000000e+02	9.000000000000000000e+01
8.045333333333333226e-01	1.730000000000000000e+02	9.000000000000000000e+01
1.000866666666666571e+00	1.710000000000000000e+02	9.000000000000000000e+01
1.197000000000000064e+00	1.650000000000000000e+02	9.000000000000000000e+01
1.431599999999999984e+00	1.900000000000000000e+02	9.000000000000000000e+01
1.643933333333333469e+00	1.950000000000000000e+02	9.000000000000000000e+01
1.842266666666666719e+00	3.160000000000000000e+02	9.000000000000000000e+01
1.947999999999999732e+00	3.760000000000000000e+02	9.000000000000000000e+01
2.221000000000000085e+00	4.840000000000000000e+02	9.000000000000000000e+01
2.408866666666666045e+00	5.950000000000000000e+02	9.000000000000000000e+01
2.661000000000000032e+00	6.400000000000000000e+02	9.000000000000000000e+01
2.843933333333333202e+00	6.920000000000000000e+02	9.000000000000000000e+01
3.047400000000000109e+00	7.330000000000000000e+02	9.000000000000000000e+01
3.240133333333333532e+00	7.640000000000000000e+02	9.000000000000000000e+01
3.447133333333333383e+00	7.440000000000000000e+02	9.000000000000000000e+01
3.657733333333333725e+00	7.670000000000000000e+02	9.000000000000000000e+01
3.816000000000000281e+00	7.480000000000000000e+02	9.000000000000000000e+01
3.964933333333333199e+00	7.440000000000000000e+02	9.000000000000000000e+01
4.239066666666666983e+00	7.510000000000000000e+02	9.000000000000000000e+01
4.399333333333332874e+00	6.690000000000000000e+02	9.000000000000000000e+01
4.572933333333333294e+00	7.160000000000000000e+02	9.000000000000000000e+01
4.788999999999999702e+00	6.520000000000000000e+02	9.000000000000000000e+01
4.982999999999999652e+00	6.410000000000000000e+02	9.000000000000000000e+01
5.194799999999999862e+00	6.220000000000000000e+02	9.000000000000000000e+01
5.403066666666665796e+00	6.190000000000000000e+02	9.000000000000000000e+01
5.614000000000000767e+00	6.240000000000000000e+02	9.000000000000000000e+01
5.802933333333333721e+00	5.200000000000000000e+02	9.000000000000000000e+01
5.985666666666666913e+00	4.810000000000000000e+02	9.000000000000000000e+01
6.221533333333332472e+00	4.280000000000000000e+02	9.000000000000000000e+01
6.395533333333333736e+00	3.940000000000000000e+02	9.000000000000000000e+01
6.581999999999998963e+00	3.730000000000000000e+02	9.000000000000000000e+01
6.826400000000001356e+00	2.850000000000000000e+02	9.000000000000000000e+01
6.995400000000000951e+00	2.710000000000000000e+02	9.000000000000000000e+01
7.185533333333333772e+00	2.110000000000000000e+02	9.000000000000000000e+01
7.414466666666666761e+00	2.240000000000000000e+02	9.000000000000000000e+01
7.615333333333333954e+00	2.120000000000000000e+02	9.000000000000000000e+01
7.824466666666667791e+00	2.450000000000000000e+02	9.000000000000000000e+01
8.062800000000001077e+00	2.150000000000000000e+02	9.000000000000000000e+01
8.086000000000000298e+00	2.160000000000000000e+02	9.000000000000000000e+01
8.099999999999999645e+00	2.260000000000000000e+02	9.000000000000000000e+01
8.121999999999999886e+00	2.230000000000000000e+02	9.000000000000000000e+01
8.137999999999999901e+00	2.720000000000000000e+02	9.000000000000000000e+01
8.166000000000000369e+00	2.280000000000000000e+02	9.000000000000000000e+01
8.178000000000000824e+00	2.640000000000000000e+02	9.000000000000000000e+01
8.202866666666668749e+00	2.920000000000000000e+02	9.000000000000000000e+01
8.222266666666666168e+00	3.660000000000000000e+02	9.000000000000000000e+01
8.237999999999999545e+00	3.910000000000000000e+02	9.000000000000000000e+01
8.258733333333333704e+00	5.530000000000000000e+02	9.000000000000000000e+01
8.281000000000000583e+00	6.640000000000000000e+02	9.000000000000000000e+01
8.301000000000000156e+00	7.790000000000000000e+02	9.000000000000000000e+01
8.321999999999999176e+00	9.930000000000000000e+02	9.000000000000000000e+01
8.337999999999999190e+00	1.076000000000000000e+03	9.000000000000000000e+01
8.358200000000000074e+00	1.203000000000000000e+03	9.000000000000000000e+01
8.383666666666666600e+00	1.248000000000000000e+03	9.000000000000000000e+01
8.403000000000000469e+00	1.207000000000000000e+03	9.000000000000000000e+01
8.416466666666668317e+00	1.148000000000000000e+03	9.000000000000000000e+01
8.445000000000000284e+00	9.440000000000000000e+02	9.000000000000000000e+01
8.462999999999999190e+00	7.350000000000000000e+02	9.000000000000000000e+01
8.479066666666664531e+00	5.520000000000000000e+02	9.000000000000000000e+01
8.503066666666665441e+00	3.930000000000000000e+02	9.000000000000000000e+01
8.521666666666666501e+00	2.980000000000000000e+02	9.000000000000000000e+01
8.539533333333334753e+00	2.520000000000000000e+02	9.000000000000000000e+01
8.558733333333332638e+00	2.570000000000000000e+02	9.000000000000000000e+01
8.583866666666665424e+00	3.170000000000000000e+02	9.000000000000000000e+01
8.599999999999999645e+00	3.470000000000000000e+02	9.000000000000000000e+01
8.622999999999999332e+00	3.950000000000000000e+02	9.000000000000000000e+01
8.636466666666667180e+00	4.190000000000000000e+02	9.000000000000000000e+01
8.668400000000000105e+00	4.630000000000000000e+02	9.000000000000000000e+01
8.680999999999999162e+00	4.620000000000000000e+02	9.000000000000000000e+01
8.699866666666666859e+00	4.850000000000000000e+02	9.000000000000000000e+01
8.721866666666667101e+00	4.280000000000000000e+02	9.000000000000000000e+01
8.741266666666666296e+00	4.010000000000000000e+02	9.000000000000000000e+01
8.760733333333332595e+00	3.550000000000000000e+02	9.000000000000000000e+01
8.778999999999999915e+00	2.970000000000000000e+02	9.000000000000000000e+01
8.801999999999999602e+00	2.490000000000000000e+02	9.000000000000000000e+01
8.824266666666666481e+00	2.180000000000000000e+02	9.000000000000000000e+01
8.840599999999998460e+00	2.220000000000000000e+02	9.000000000000000000e+01
8.858000000000000540e+00	2.180000000000000000e+02	9.000000000000000000e+01
8.886066666666664560e+00	2.100000000000000000e+02	9.000000000000000000e+01
